filename,community,emp_job_satisfaction,emp_engagement,emp_wellbeing,emp_burnout,emp_technostress,emp_stress,emp_work_life,emp_turnover_intent,emp_isolation,emp_autonomy,emp_flexibility,emp_belonging,org_firm_performance,org_financial,org_cost,org_real_estate,org_retention_rate,org_absenteeism,org_culture,org_productivity,org_job_performance,org_commitment,org_team_effective,org_collaboration,org_innovation,org_project_success,org_leadership,ctrl_monitoring,ctrl_evaluation,ctrl_policy,ctrl_oversight,n_employee,n_org,n_control,any_employee,any_org,any_control,any_firm_level
 Who Knows Me Understands My Needs   The Effect of Home-Based Telework on Work Engagement.pdf,1,1,1,1,0,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,8,4,0,1,1,0,1
%5B2024%5D10.4473_TPM31.4.3.pdf,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,2,0,1,1,0,1
00385-AAAI23.SarkarP.pdf,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1
0597.pdf,3,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,7,4,0,1,1,0,1
0648.pdf,4,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,3,4,0,1,1,0,1
0718-2724-jotmi-20-01-27.pdf,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,1,0,1,1,0,0
09.pdf,3,0,0,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,6,3,0,1,1,0,0
1-s2.0-S0001691825001957-main.pdf,3,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,5,2,0,1,1,0,0
1-s2.0-S0001691825013344-main.pdf,1,0,0,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,8,5,0,1,1,0,1
1-s2.0-S0001691825014994-main.pdf,1,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0
1-s2.0-S0001691826002891-main.pdf,4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,2,4,0,1,1,0,0
1-s2.0-S0001879125000156-main.pdf,3,1,0,1,0,0,1,1,0,1,1,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,8,4,0,1,1,0,1
1-s2.0-S0040162523007503-main.pdf,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,7,5,1,1,1,1,1
1-s2.0-S0090261624000457-main.pdf,4,0,0,1,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,8,4,0,1,1,0,0
1-s2.0-S014362282300019X-main.pdf,2,1,0,1,1,1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,10,2,1,1,1,1,1
1-s2.0-S0148296322004805-main.pdf,3,0,0,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,5,3,1,1,1,1,1
1-s2.0-S0148296322005422-main.pdf,3,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,7,4,0,1,1,0,1
1-s2.0-S0160791X24003105-main.pdf,3,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,11,3,0,1,1,0,1
1-s2.0-S0191886922004603-main.pdf,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1,1,0,0
1-s2.0-S0263786324000656-main.pdf,4,0,1,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,6,5,0,1,1,0,0
1-s2.0-S0360132323009368-main.pdf,2,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,4,4,0,1,1,0,1
1-s2.0-S0965856424001186-main.pdf,1,1,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,7,2,0,1,1,0,0
1-s2.0-S1029313222000343-main.pdf,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,2,0,1,1,0,0
1-s2.0-S1877050924015229-main.pdf,3,1,0,1,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,7,4,0,1,1,0,1
1-s2.0-S2214367X26000220-main.pdf,2,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,5,4,1,1,1,1,1
1-s2.0-S2451958823000842-main.pdf,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,2,6,0,1,1,0,1
10-1108_IJM-12-2022-0628.pdf,0,0,0,1,1,0,1,1,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,7,3,1,1,1,1,1
10-1108_MRR-11-2022-0806.pdf,0,1,1,1,1,0,1,0,0,1,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,8,4,0,1,1,0,1
10.1177_00221465221150283.pdf,2,1,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0
10.1515_soeu-2024-0030.pdf,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,5,5,1,1,1,1,1
10.2478_subboec-2022-0012.pdf,1,0,1,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,8,3,0,1,1,0,0
10.30798-makuiibf.1443319-3755769.pdf,3,1,0,1,1,1,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,8,5,0,1,1,0,1
10869_2022_Article_9842.pdf,1,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,1,0,1,1,0,0
1094210ar.pdf,2,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,1,0,1
1101313ar.pdf,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,1,1,0,1
1112222ar.pdf,5,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,2,2,2,1,1,1,1
1154182.pdf,3,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,6,4,0,1,1,0,1
126836-how-remote-work-changes-communication-in-organizations.pdf,4,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,3,3,1,1,1,1,0
136-145.pdf,2,1,1,1,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,9,4,1,1,1,1,0
14-Article Text-25-1-10-20241030.pdf,2,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,10,3,0,1,1,0,0
15.pdf,4,0,0,1,1,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,6,6,0,1,1,0,1
1549-6151-2-PB.pdf,2,0,1,1,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,7,4,1,1,1,1,0
170-178.pdf,4,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,0,0,5,5,2,1,1,1,0
2011-2084-ijpr-18-02-13.pdf,1,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,1,0,1
2022-54402-001.pdf,3,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,5,3,1,1,1,1,1
2022_Canadian%20Psychology_Manuscript.pdf,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,0,1,1,0,0
2024-work-in-america-report.pdf,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,2,3,1,1,1,1,0
2024_Jeffries_Amy_BSc_IM.pdf,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0
"22.+2023.+3(2).+Juli.+Irfan,+Didit,+da+Costa+(161-168).pdf",1,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,5,2,0,1,1,0,0
2238-7863-1-PB.pdf,4,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,5,2,0,1,1,0,0
23+-+25380.pdf,4,0,0,1,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,6,5,0,1,1,0,0
2505.15743v1.pdf,2,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,6,4,0,1,1,0,1
2599990.2600011.pdf,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,10,5,0,1,1,0,1
29-The impact of telework on organisational performance_ behaviour_ and culture_ evidence from bu.pdf,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,2,6,0,1,1,0,1
