row,filename,community,degree,betweenness,closeness,eigenvector
0, Who Knows Me Understands My Needs   The Effect of Home-Based Telework on Work Engagement.pdf,1,0.0699,0.004,0.4182,0.0574
1,%5B2024%5D10.4473_TPM31.4.3.pdf,1,0.0389,0.0113,0.4033,0.0269
2,00385-AAAI23.SarkarP.pdf,3,0.0389,0.0258,0.4072,0.0179
3,0597.pdf,3,0.0492,0.0009,0.3988,0.0445
4,0648.pdf,4,0.057,0.0013,0.3829,0.0224
5,0718-2724-jotmi-20-01-27.pdf,1,0.0415,0.004,0.3979,0.0323
6,09.pdf,3,0.0596,0.0043,0.4401,0.0525
7,1-s2.0-S0001691825001957-main.pdf,3,0.0596,0.0007,0.4111,0.0546
8,1-s2.0-S0001691825013344-main.pdf,1,0.1295,0.0215,0.4406,0.0994
9,1-s2.0-S0001691825014994-main.pdf,1,0.0933,0.0062,0.4223,0.079
10,1-s2.0-S0001691826002891-main.pdf,4,0.057,0.0028,0.3748,0.0214
11,1-s2.0-S0001879125000156-main.pdf,3,0.0415,0.0087,0.4111,0.0244
12,1-s2.0-S0040162523007503-main.pdf,1,0.0492,0.0021,0.4106,0.0537
13,1-s2.0-S0090261624000457-main.pdf,4,0.0492,0.0011,0.3484,0.0162
14,1-s2.0-S014362282300019X-main.pdf,2,0.0518,0.0027,0.4021,0.0438
15,1-s2.0-S0148296322004805-main.pdf,3,0.044,0.0025,0.3903,0.0281
16,1-s2.0-S0148296322005422-main.pdf,3,0.0518,0.0034,0.4232,0.0405
17,1-s2.0-S0160791X24003105-main.pdf,3,0.0622,0.0029,0.4102,0.0514
18,1-s2.0-S0191886922004603-main.pdf,1,0.0389,0.005,0.3907,0.0278
19,1-s2.0-S0263786324000656-main.pdf,4,0.0389,0.0101,0.4017,0.0207
20,1-s2.0-S0360132323009368-main.pdf,2,0.0389,0.008,0.4008,0.0354
21,1-s2.0-S0965856424001186-main.pdf,1,0.0389,0.0108,0.3992,0.0282
22,1-s2.0-S1029313222000343-main.pdf,4,0.0518,0.0029,0.405,0.0226
23,1-s2.0-S1877050924015229-main.pdf,3,0.1036,0.0111,0.4584,0.1001
24,1-s2.0-S2214367X26000220-main.pdf,2,0.0389,0.0081,0.4089,0.0308
25,1-s2.0-S2451958823000842-main.pdf,3,0.057,0.0066,0.4327,0.05
26,10-1108_IJM-12-2022-0628.pdf,0,0.0466,0.0004,0.3618,0.0276
27,10-1108_MRR-11-2022-0806.pdf,0,0.0518,0.0022,0.4038,0.0323
28,10.1177_00221465221150283.pdf,2,0.0492,0.0013,0.3967,0.0546
29,10.1515_soeu-2024-0030.pdf,0,0.0389,0.0002,0.3422,0.0211
30,10.2478_subboec-2022-0012.pdf,1,0.0415,0.0008,0.4012,0.0432
31,10.30798-makuiibf.1443319-3755769.pdf,3,0.0415,0.0059,0.4396,0.0413
32,10869_2022_Article_9842.pdf,1,0.0389,0.0018,0.4033,0.0504
33,1094210ar.pdf,2,0.0596,0.0015,0.4133,0.0483
34,1101313ar.pdf,1,0.0544,0.0027,0.4332,0.0522
35,1112222ar.pdf,5,0.044,0.001,0.3506,0.0113
36,1154182.pdf,3,0.0466,0.0004,0.3899,0.0461
37,126836-how-remote-work-changes-communication-in-organizations.pdf,4,0.0389,0.0024,0.3762,0.0248
38,136-145.pdf,2,0.0544,0.0014,0.3963,0.0444
39,14-Article Text-25-1-10-20241030.pdf,2,0.1036,0.0045,0.4386,0.1115
40,15.pdf,4,0.0389,0.0024,0.3509,0.0143
41,1549-6151-2-PB.pdf,2,0.0648,0.0002,0.3947,0.067
42,170-178.pdf,4,0.0855,0.0018,0.3915,0.0411
43,2011-2084-ijpr-18-02-13.pdf,1,0.0699,0.0035,0.4196,0.0583
44,2022-54402-001.pdf,3,0.044,0.0047,0.4098,0.0292
45,2022_Canadian%20Psychology_Manuscript.pdf,1,0.1554,0.0135,0.4651,0.148
46,2024-work-in-america-report.pdf,1,0.057,0.0066,0.426,0.0454
47,2024_Jeffries_Amy_BSc_IM.pdf,2,0.0751,0.0031,0.4106,0.0674
48,"22.+2023.+3(2).+Juli.+Irfan,+Didit,+da+Costa+(161-168).pdf",1,0.0492,0.0017,0.4089,0.0492
49,2238-7863-1-PB.pdf,4,0.0596,0.0012,0.4063,0.04
50,23+-+25380.pdf,4,0.0777,0.0012,0.3872,0.0288
51,2505.15743v1.pdf,2,0.0699,0.0035,0.3983,0.0558
52,2599990.2600011.pdf,1,0.0466,0.001,0.4059,0.045
