row,filename,community
0, Who Knows Me Understands My Needs   The Effect of Home-Based Telework on Work Engagement.pdf,1
1,%5B2024%5D10.4473_TPM31.4.3.pdf,1
2,00385-AAAI23.SarkarP.pdf,3
3,0597.pdf,3
4,0648.pdf,4
5,0718-2724-jotmi-20-01-27.pdf,1
6,09.pdf,3
7,1-s2.0-S0001691825001957-main.pdf,3
8,1-s2.0-S0001691825013344-main.pdf,1
9,1-s2.0-S0001691825014994-main.pdf,1
10,1-s2.0-S0001691826002891-main.pdf,4
11,1-s2.0-S0001879125000156-main.pdf,3
12,1-s2.0-S0040162523007503-main.pdf,1
13,1-s2.0-S0090261624000457-main.pdf,4
14,1-s2.0-S014362282300019X-main.pdf,2
15,1-s2.0-S0148296322004805-main.pdf,3
16,1-s2.0-S0148296322005422-main.pdf,3
17,1-s2.0-S0160791X24003105-main.pdf,3
18,1-s2.0-S0191886922004603-main.pdf,1
19,1-s2.0-S0263786324000656-main.pdf,4
20,1-s2.0-S0360132323009368-main.pdf,2
21,1-s2.0-S0965856424001186-main.pdf,1
22,1-s2.0-S1029313222000343-main.pdf,4
23,1-s2.0-S1877050924015229-main.pdf,3
24,1-s2.0-S2214367X26000220-main.pdf,2
25,1-s2.0-S2451958823000842-main.pdf,3
26,10-1108_IJM-12-2022-0628.pdf,0
27,10-1108_MRR-11-2022-0806.pdf,0
28,10.1177_00221465221150283.pdf,2
29,10.1515_soeu-2024-0030.pdf,0
30,10.2478_subboec-2022-0012.pdf,1
31,10.30798-makuiibf.1443319-3755769.pdf,3
32,10869_2022_Article_9842.pdf,1
33,1094210ar.pdf,2
34,1101313ar.pdf,1
35,1112222ar.pdf,5
36,1154182.pdf,3
37,126836-how-remote-work-changes-communication-in-organizations.pdf,4
38,136-145.pdf,2
39,14-Article Text-25-1-10-20241030.pdf,2
40,15.pdf,4
41,1549-6151-2-PB.pdf,2
42,170-178.pdf,4
43,2011-2084-ijpr-18-02-13.pdf,1
44,2022-54402-001.pdf,3
45,2022_Canadian%20Psychology_Manuscript.pdf,1
46,2024-work-in-america-report.pdf,1
47,2024_Jeffries_Amy_BSc_IM.pdf,2
48,"22.+2023.+3(2).+Juli.+Irfan,+Didit,+da+Costa+(161-168).pdf",1
49,2238-7863-1-PB.pdf,4
50,23+-+25380.pdf,4
51,2505.15743v1.pdf,2
52,2599990.2600011.pdf,1
53,29-The impact of telework on organisational performance_ behaviour_ and culture_ evidence from bu.pdf,1
54,3.+Upload+Rhienta.pdf,3
55,30.pdf,3
56,307.Psychological-Safety-and-Inclusion-in-Virtual-Teams_-Lessons-from-Multinational-Organizations.pdf,4
57,31e2705b-ee0c-4339-9fd5-35b18da1bc19.pdf,1
58,3524-11217-1-PB.pdf,3
59,35298-Full article-69125-1-10-20241128.pdf,5
60,3599609.3599621.pdf,0
61,3710902.pdf,5
62,3757685.pdf,4
63,3772318.3791525.pdf,5
64,417-424-4-Hybrid+Work+Leadership+Balancing+Productivity+and+Employee+Well-being.pdf,4
65,4494.pdf,2
66,5401-Article Text-14326-1-10-20250923.pdf,3
67,6-ISROSET-IJSRCSE-094561.pdf,5
68,64K_Hybrid+Work+Fatigue+on+Psychological+and+Organizational+Factors+Influencing+Employee+Well-Being+Evidence+by+Segari.pdf,3
69,6667f993bbb09.pdf,2
70,694-Rebecca-Work-Life-Balance-Draft2.pdf,1
71,7.pdf,5
72,708.pdf,3
73,709-Article+Text-3048-1-11-20250128+(1).pdf,5
74,78.+Exploring+Emotional+Intelligence%2C+Remote+Work+Dynamics%2C+Team+Collaboration%2C+and+Adaptive+Leadership+for+Enhanced+Success+in+the+Digital+Workplace.pdf,4
75,891-908+Mustajab.pdf,2
76,8aff1a74-en.pdf,1
77,8da9a341-5af7-43fc-9e18-04fdffb64ea0.pdf,1
78,95-106+OIKONOMIA+310.pdf,3
79,978-3-031-94544-1_3.pdf,4
80,AJESD_1LVNGBSU.pdf,2
81,A_Qualitative_Study_of_Pandemi.pdf,1
82,A_millennial_manager_skills_mo.pdf,0
83,Adascalitei-Riso_Employee-monitoring-on-remote-work_Sinappsi_n2_20242.pdf,5
84,After-Hours_Availability_Expec.pdf,1
85,Applied Psychology - 2023 - Hodzic - When telework is a burden rather than a perk  The roles of knowledge sharing and.pdf,0
86,Applied Psychology - 2023 - Schulze - The relationship between telework and job characteristics  A latent change score.pdf,1
87,Article-5.pdf,4
88,Artikel+Galleys+Oshada-2229.pdf,3
89,Ball.pdf,5
90,Beurden_van_0960664_ABP_Appel_-_Meulenbroek_MSc_thesis.pdf,2
91,Blind_MS_IJHRM_9_TH_Jan_25_R3_1_.pdf,2
92,Canadian Review of Sociology - 2023 - Thompson - Workplace Surveillance in Canada  A survey on the adoption and use of.pdf,5
93,"Cavalcante, Bianchi, Schonfeld, Martins, Cameira, Queiros, 2025, telework, hybrid work.pdf",1
94,Chapter_07A.pdf,4
95,"Chernoglazova, Lena_MSc Dissertation.pdf",2
96,Connecting work teams in a remote workplace  an identity leadership perspective.pdf,2
97,Cousineauetal.pdf,5
98,Craftingtelework_Aprocessmodel_PR.pdf,0
99,Cultivating_Belonging_During_O.pdf,2
100,Daily_Routine_and_Performance_Analysis_-_Parallel_Between_Telework_and_Work_from_the_Office.pdf,1
101,DelanoeijeVerbruggen2024_JOHP_Biophilia_in_the_homeworkplace_ACCEPTEDversion.pdf,1
102,Di+Dalmazi+et+al.%282022%29.pdf,1
103,Dialnet-Telework-10668357.pdf,1
104,Dialnet-TheImportanceOfTrustInCultivatingEmployeeLoyaltyAn-8994341.pdf,3
105,DigitalFatigueandEmployeeEngagementinHybridWorkAMultilevelPerspective.pdf,3
106,Disentangling_the_implications.pdf,0
107,Does work-life boundary management improve work-life balance for.pdf,2
108,EBSCO-FullText-06_01_2026-2.pdf,0
109,EBSCO-FullText-06_01_2026.pdf,4
110,EBSCO-FullText-06_02_2026-2.pdf,2
111,EBSCO-FullText-06_02_2026-3.pdf,0
112,EBSCO-FullText-06_02_2026.pdf,2
113,EBSCO-FullText-06_10_2026.pdf,2
114,ECIS2016_HafermalzRiemer_Belonging_Remote_Work.pdf,2
115,ESP-3420%20Proofread%20%281%29.pdf,3
116,Employee+Perspectives+on+Remote+Work+Culture+and+Leadership+in+Hybrid+Organisations.pdf,4
117,Employees’_fit_to_telework_and.pdf,0
118,Engagement_in_the_teleworking_.pdf,0
119,Evolving_approaches_to_employe.pdf,0
120,Exploring_the_nexus_between_re.pdf,0
121,Exploring_the_nexus_of_social_.pdf,0
122,Exploring_the_remote_work_chal.pdf,0
123,FULLTEXT01 copy.pdf,2
124,FULLTEXT01-2.pdf,2
125,FULLTEXT01.pdf,4
126,Fonner-CommMonogr12.pdf,1
127,Fostering a culture of belonging within women working in a hybrid.pdf,4
128,From_home_to_office_dynamics_.pdf,0
129,G22THFL-034862T.pdf,2
130,GSCARR-2024-0261.pdf,2
131,Gender_differences_in_remote_w.pdf,0
132,HPSCONF-V21-1-18.pdf,4
133,"Healthy,_healthier,_hybrid_wor.pdf",0
134,Hewitt+Note+-+Panoptic+Employment+8.8.24.pdf,5
135,How_and_When_Technostress_Pred.pdf,1
136,How_far_can_I_trust_you_Under.pdf,0
137,Human Behavior and Emerging Technologies - 2024 - Laksanadjaja - Uncovering the Web of Secrets Surrounding Employee.pdf,5
138,Human Behavior and Emerging Technologies - 2025 - Massa - E%E2%80%90Skill Self%E2%80%90Efficacy and Perceived Performance in Remote Work  A.pdf,3
139,Human_Centric_Digital_Transformation_and_Operator_4.0_for_the_Oil_and_Gas_Industry.pdf,0
140,Hybrid workers describe aspects that promote effectiveness  work engagement  work-life balance  and health.pdf,3
141,Hybrid_working_–_Benefits_and_.pdf,0
142,"IJEMR+vol.+4,+no.+3,+Page+426-437.pdf",1
143,IJETCSIT-V6I3P108.pdf,4
144,IJSRA-2025-2470.pdf,2
145,ILR-161-289.pdf,2
146,Ibrahim.pdf,0
147,Impact_of_employee_well-being_.pdf,0
148,"Impact_of_stress,_job_satisfac.pdf",0
149,Impact_of_work_from_home_on_work_life_ba.pdf,3
150,Inclusion_and_Psychological_Sa.pdf,4
151,Information Systems Journal - 2023 - Meier - Cooking a telework theory with causal recipes  Explaining telework success.pdf,0
152,Int J Management Reviews - 2025 - Ferdous - An integrated framework of remote work from organizational adoption to employee.pdf,3
153,J Management Studies - 2025 - Tr%C3%B6ster - How Hybrid Work Shapes Communication Ties  The Role of Concern about Relationship.pdf,4
154,J Occupat   Organ Psyc - 2024 - Scheibe - Age%E2%80%90related differences in the use of boundary management tactics when.pdf,1
155,JABS-2024JanMappingtheexperiencesofwork-life.Scopus.pdf,0
156,JFerreras_Dissertation_Fall2024.pdf,3
157,Journal of Advanced Nursing - 2021 - Terkamo%E2%80%90Moisio - Towards remote leadership in health care  Lessons learned from an.pdf,4
158,Keser-Ertemsir-Basol.pdf,1
159,Leadership in virtual work settings  what we know  what we do not know  and what we need to do.pdf,4
160,Lechner%20%2B%20Tobias%202021OD_How%20to%20create%20psychological%20safety%20in%20virtual%20teams_Accepted%20Manuscript%20%281%29.pdf,4
161,Manager_Control_and_Employee_Isolation_I.pdf,1
162,Managing_Performance_and_Building_Digital_Trust_in.pdf,2
163,Manuscript.pdf,2
164,Manuscript_IRJMS_01841_WS.pdf,2
165,Master_Thesis_Final_-_Layal_Alkhatib_and_Arsaf.pdf,4
166,Master_Thesis_PabloVelazco_RaffaelBless_1.pdf,4
167,MelusoJohnsonBagrow2021FlexibleEnvironmentsforHybridCollaboration.pdf,2
168,Navigating_the_change_explori.pdf,0
169,New Technol Work Employ - 2023 - Wieser - Employee acceptance of digital monitoring systems while working from home.pdf,5
170,New Technol Work Employ - 2024 - Williams - Framing algorithmic management  Constructed antagonism on HR technology.pdf,0
171,Organizational_identification_among_virt.pdf,4
172,Osuva_Myllymäki_Smale_Sumelius_2024.pdf,3
173,Out of sight out of mind? Remote work and contractual distancing.pdf,2
174,PAGANIN+Videoconference+fatigue+AM.pdf,1
175,Paper+2+(2023.5.6)+Assessing+the+Impact+of+a+Hybrid+Work+Model+on+Job+Execution+....pdf,3
176,PersonnelPsychology-2022-Ravid-AmetaE28090analysisoftheeffectsofelectronicperformancemonitoringonworkoutcomes.pdf,5
177,Piirsalu_Kivihall_Makiniemi_2025.pdf,1
178,Productive and connected while working from home  what client-facing remote workers can learn from telenurses about  belonging through technology .pdf,2
179,Promoting_health_and_productiv.pdf,1
180,PsychologicalCapitalandBurnout_GKMC.pdf,0
181,Psychosocial_safety_climate_Measurement.pdf,1
182,Public_management_strategies_f.pdf,0
183,REPUB_84468_OA.pdf,3
