pole,anchor,n_papers_containing
benefit,support,212
risk,stress,177
benefit,well-being,174
benefit,productivity,165
benefit,flexibility,145
benefit,satisfaction,142
benefit,autonomy,112
benefit,engagement,112
risk,isolation,106
benefit,collaboration,97
risk,conflict,97
benefit,trust,81
risk,exhaustion,64
risk,burnout,64
risk,monitoring,63
risk,strain,55
risk,technostress,53
risk,overload,52
benefit,commitment,51
benefit,belonging,43
risk,fatigue,40
benefit,inclusion,36
benefit,wellbeing,35
risk,surveillance,30
risk,loneliness,24
