PROVISIONAL_seed_dependent_recompute_after_seed_fix
community,threshold,n_papers,pct_benefit,pct_risk,pct_both,pct_neither
0,1,97,99.0,90.7,89.7,0.0
0,2,97,88.7,64.9,57.7,4.1
0,3,97,74.2,46.4,37.1,16.5
1,1,88,94.3,81.8,77.3,1.1
1,2,88,78.4,54.5,45.5,12.5
1,3,88,51.1,39.8,20.5,29.5
2,1,69,94.2,73.9,69.6,1.4
2,2,69,84.1,50.7,44.9,10.1
2,3,69,73.9,27.5,21.7,20.3
3,1,56,92.9,82.1,78.6,3.6
3,2,56,85.7,66.1,62.5,10.7
3,3,56,75.0,48.2,41.1,17.9
4,1,52,92.3,57.7,53.8,3.8
4,2,52,84.6,15.4,11.5,11.5
4,3,52,67.3,9.6,5.8,28.8
5,1,25,92.0,100.0,92.0,0.0
5,2,25,68.0,76.0,48.0,4.0
5,3,25,44.0,28.0,20.0,48.0
