filename,community,benefit_hits,risk_hits,class_thr1,benefit_anchors_fired,risk_anchors_fired
 Who Knows Me Understands My Needs   The Effect of Home-Based Telework on Work Engagement.pdf,1,5,1,both,autonomy|engagement|productivity|satisfaction|support,isolation
%5B2024%5D10.4473_TPM31.4.3.pdf,1,2,5,both,autonomy|flexibility,technostress|isolation|overload|stress|strain
00385-AAAI23.SarkarP.pdf,3,0,1,risk_only,,fatigue
0597.pdf,3,6,3,both,wellbeing|productivity|satisfaction|collaboration|support|commitment,technostress|overload|stress
0648.pdf,4,4,0,benefit_only,well-being|collaboration|inclusion|support,
0718-2724-jotmi-20-01-27.pdf,1,0,3,risk_only,,technostress|exhaustion|stress
09.pdf,3,6,4,both,flexibility|trust|wellbeing|satisfaction|collaboration|support,isolation|conflict|stress|loneliness
1-s2.0-S0001691825001957-main.pdf,3,2,3,both,engagement|well-being,technostress|overload|stress
1-s2.0-S0001691825013344-main.pdf,1,2,6,both,well-being|collaboration,burnout|technostress|fatigue|exhaustion|stress|strain
1-s2.0-S0001691825014994-main.pdf,1,5,5,both,autonomy|flexibility|wellbeing|well-being|support,burnout|technostress|isolation|conflict|stress
1-s2.0-S0001691826002891-main.pdf,4,4,1,both,trust|engagement|collaboration|support,strain
1-s2.0-S0001879125000156-main.pdf,3,4,2,both,flexibility|belonging|satisfaction|support,isolation|loneliness
1-s2.0-S0040162523007503-main.pdf,1,3,3,both,satisfaction|collaboration|support,technostress|stress|strain
1-s2.0-S0090261624000457-main.pdf,4,4,1,both,trust|well-being|collaboration|inclusion,conflict
1-s2.0-S014362282300019X-main.pdf,2,2,4,both,autonomy|flexibility,technostress|stress|monitoring|strain
1-s2.0-S0148296322004805-main.pdf,3,2,2,both,flexibility|trust,monitoring|loneliness
1-s2.0-S0148296322005422-main.pdf,3,0,4,risk_only,,burnout|fatigue|exhaustion|strain
1-s2.0-S0160791X24003105-main.pdf,3,7,1,both,flexibility|engagement|wellbeing|productivity|satisfaction|support|commitment,burnout
1-s2.0-S0191886922004603-main.pdf,1,2,3,both,engagement|well-being,isolation|stress|loneliness
1-s2.0-S0263786324000656-main.pdf,4,5,3,both,autonomy|flexibility|engagement|collaboration|support,burnout|conflict|stress
1-s2.0-S0360132323009368-main.pdf,2,5,3,both,belonging|engagement|well-being|productivity|commitment,isolation|stress|loneliness
1-s2.0-S0965856424001186-main.pdf,1,2,0,benefit_only,flexibility|support,
1-s2.0-S1029313222000343-main.pdf,4,2,0,benefit_only,trust|collaboration,
1-s2.0-S1877050924015229-main.pdf,3,6,1,both,flexibility|engagement|wellbeing|satisfaction|support|commitment,stress
1-s2.0-S2214367X26000220-main.pdf,2,0,1,risk_only,,monitoring
1-s2.0-S2451958823000842-main.pdf,3,1,0,benefit_only,collaboration,
10-1108_IJM-12-2022-0628.pdf,0,2,4,both,well-being|support,burnout|conflict|exhaustion|stress
10-1108_MRR-11-2022-0806.pdf,0,9,5,both,autonomy|flexibility|trust|engagement|well-being|productivity|satisfaction|support|commitment,burnout|isolation|conflict|stress|loneliness
10.1177_00221465221150283.pdf,2,2,4,both,well-being|satisfaction,burnout|conflict|stress|strain
10.1515_soeu-2024-0030.pdf,0,5,1,both,flexibility|trust|productivity|collaboration|support,burnout
10.2478_subboec-2022-0012.pdf,1,5,3,both,autonomy|flexibility|engagement|well-being|satisfaction,burnout|isolation|exhaustion
10.30798-makuiibf.1443319-3755769.pdf,3,3,5,both,flexibility|well-being|satisfaction,burnout|technostress|isolation|conflict|stress
10869_2022_Article_9842.pdf,1,4,4,both,engagement|well-being|satisfaction|support,isolation|overload|conflict|stress
1094210ar.pdf,2,1,1,both,autonomy,stress
1101313ar.pdf,1,1,0,benefit_only,autonomy,
1112222ar.pdf,5,2,2,both,well-being|productivity,surveillance|stress
1154182.pdf,3,4,5,both,flexibility|engagement|well-being|productivity,technostress|overload|conflict|exhaustion|stress
126836-how-remote-work-changes-communication-in-organizations.pdf,4,2,0,benefit_only,trust|productivity,
136-145.pdf,2,3,0,benefit_only,well-being|productivity|collaboration,
14-Article Text-25-1-10-20241030.pdf,2,7,6,both,autonomy|flexibility|engagement|well-being|satisfaction|collaboration|support,fatigue|isolation|conflict|exhaustion|stress|strain
15.pdf,4,2,1,both,trust|support,loneliness
1549-6151-2-PB.pdf,2,5,2,both,flexibility|engagement|well-being|productivity|collaboration,isolation|stress
170-178.pdf,4,6,1,both,autonomy|trust|belonging|productivity|collaboration|inclusion,isolation
2011-2084-ijpr-18-02-13.pdf,1,3,1,both,autonomy|trust|support,conflict
2022-54402-001.pdf,3,3,6,both,well-being|satisfaction|support,technostress|isolation|overload|conflict|stress|strain
2022_Canadian%20Psychology_Manuscript.pdf,1,1,2,both,commitment,conflict|stress
2024-work-in-america-report.pdf,1,3,1,both,productivity|satisfaction|support,monitoring
2024_Jeffries_Amy_BSc_IM.pdf,2,2,0,benefit_only,belonging|support,
"22.+2023.+3(2).+Juli.+Irfan,+Didit,+da+Costa+(161-168).pdf",1,5,2,both,flexibility|well-being|productivity|collaboration|support,fatigue|stress
2238-7863-1-PB.pdf,4,0,0,neither,,
23+-+25380.pdf,4,1,0,benefit_only,support,
2505.15743v1.pdf,2,6,1,both,flexibility|trust|engagement|productivity|satisfaction|support,conflict
2599990.2600011.pdf,1,0,7,risk_only,,technostress|isolation|overload|conflict|exhaustion|stress|strain
29-The impact of telework on organisational performance_ behaviour_ and culture_ evidence from bu.pdf,1,2,0,benefit_only,trust|satisfaction,
3.+Upload+Rhienta.pdf,3,6,2,both,autonomy|flexibility|well-being|productivity|collaboration|support,technostress|stress
30.pdf,3,6,1,both,trust|engagement|well-being|collaboration|support|commitment,monitoring
307.Psychological-Safety-and-Inclusion-in-Virtual-Teams_-Lessons-from-Multinational-Organizations.pdf,4,8,1,both,flexibility|trust|engagement|well-being|satisfaction|collaboration|inclusion|commitment,isolation
31e2705b-ee0c-4339-9fd5-35b18da1bc19.pdf,1,2,0,benefit_only,autonomy|well-being,
3524-11217-1-PB.pdf,3,4,5,both,autonomy|flexibility|well-being|support,burnout|overload|exhaustion|stress|strain
35298-Full article-69125-1-10-20241128.pdf,5,4,2,both,trust|satisfaction|support|commitment,surveillance|monitoring
3599609.3599621.pdf,0,7,3,both,autonomy|flexibility|trust|belonging|productivity|satisfaction|support,burnout|exhaustion|stress
3710902.pdf,5,4,4,both,autonomy|trust|productivity|support,burnout|surveillance|stress|monitoring
3757685.pdf,4,6,2,both,trust|engagement|well-being|productivity|collaboration|support,burnout|strain
3772318.3791525.pdf,5,5,2,both,autonomy|trust|engagement|productivity|collaboration,surveillance|monitoring
417-424-4-Hybrid+Work+Leadership+Balancing+Productivity+and+Employee+Well-being.pdf,4,9,6,both,autonomy|flexibility|trust|engagement|well-being|productivity|collaboration|inclusion|support,burnout|fatigue|isolation|exhaustion|stress|monitoring
4494.pdf,2,3,0,benefit_only,belonging|productivity|collaboration,
5401-Article Text-14326-1-10-20250923.pdf,3,3,2,both,flexibility|engagement|support,stress|monitoring
6-ISROSET-IJSRCSE-094561.pdf,5,6,1,both,autonomy|flexibility|trust|well-being|productivity|support,monitoring
64K_Hybrid+Work+Fatigue+on+Psychological+and+Organizational+Factors+Influencing+Employee+Well-Being+Evidence+by+Segari.pdf,3,7,4,both,autonomy|flexibility|engagement|well-being|productivity|collaboration|support,fatigue|overload|exhaustion|stress
6667f993bbb09.pdf,2,11,5,both,autonomy|flexibility|trust|belonging|engagement|well-being|productivity|satisfaction|collaboration|inclusion|support,surveillance|isolation|conflict|monitoring|loneliness
694-Rebecca-Work-Life-Balance-Draft2.pdf,1,0,1,risk_only,,conflict
7.pdf,5,2,1,both,trust|productivity,monitoring
708.pdf,3,6,2,both,engagement|well-being|productivity|satisfaction|collaboration|support,exhaustion|stress
709-Article+Text-3048-1-11-20250128+(1).pdf,5,6,3,both,autonomy|trust|well-being|productivity|satisfaction|support,surveillance|stress|monitoring
78.+Exploring+Emotional+Intelligence%2C+Remote+Work+Dynamics%2C+Team+Collaboration%2C+and+Adaptive+Leadership+for+Enhanced+Success+in+the+Digital+Workplace.pdf,4,7,1,both,flexibility|trust|engagement|productivity|satisfaction|collaboration|support,isolation
891-908+Mustajab.pdf,2,6,1,both,flexibility|well-being|productivity|satisfaction|collaboration|commitment,isolation
8aff1a74-en.pdf,1,1,0,benefit_only,satisfaction,
8da9a341-5af7-43fc-9e18-04fdffb64ea0.pdf,1,5,2,both,engagement|well-being|satisfaction|support|commitment,overload|exhaustion
95-106+OIKONOMIA+310.pdf,3,8,2,both,flexibility|trust|engagement|well-being|productivity|satisfaction|collaboration|support,isolation|monitoring
978-3-031-94544-1_3.pdf,4,9,0,benefit_only,autonomy|flexibility|belonging|well-being|productivity|satisfaction|collaboration|inclusion|support,
AJESD_1LVNGBSU.pdf,2,8,1,both,autonomy|flexibility|trust|belonging|well-being|productivity|collaboration|inclusion,isolation
A_Qualitative_Study_of_Pandemi.pdf,1,4,1,both,trust|productivity|satisfaction|support,exhaustion
A_millennial_manager_skills_mo.pdf,0,7,2,both,flexibility|trust|well-being|productivity|satisfaction|support|commitment,isolation|conflict
Adascalitei-Riso_Employee-monitoring-on-remote-work_Sinappsi_n2_20242.pdf,5,3,1,both,autonomy|flexibility|productivity,monitoring
After-Hours_Availability_Expec.pdf,1,1,0,benefit_only,well-being,
Applied Psychology - 2023 - Hodzic - When telework is a burden rather than a perk  The roles of knowledge sharing and.pdf,0,7,4,both,autonomy|flexibility|engagement|well-being|productivity|satisfaction|support,isolation|exhaustion|stress|loneliness
Applied Psychology - 2023 - Schulze - The relationship between telework and job characteristics  A latent change score.pdf,1,2,0,benefit_only,autonomy|support,
Article-5.pdf,4,3,0,benefit_only,belonging|engagement|collaboration,
Artikel+Galleys+Oshada-2229.pdf,3,4,7,both,flexibility|well-being|productivity|support,burnout|fatigue|overload|conflict|exhaustion|stress|strain
Ball.pdf,5,0,2,risk_only,,surveillance|monitoring
Beurden_van_0960664_ABP_Appel_-_Meulenbroek_MSc_thesis.pdf,2,1,0,benefit_only,productivity,
Blind_MS_IJHRM_9_TH_Jan_25_R3_1_.pdf,2,3,3,both,engagement|well-being|support,technostress|conflict|stress
Canadian Review of Sociology - 2023 - Thompson - Workplace Surveillance in Canada  A survey on the adoption and use of.pdf,5,1,2,both,productivity,surveillance|monitoring
"Cavalcante, Bianchi, Schonfeld, Martins, Cameira, Queiros, 2025, telework, hybrid work.pdf",1,2,5,both,engagement|well-being,burnout|fatigue|overload|exhaustion|stress
Chapter_07A.pdf,4,3,1,both,flexibility|productivity|collaboration,strain
"Chernoglazova, Lena_MSc Dissertation.pdf",2,4,1,both,belonging|collaboration|inclusion|support,isolation
Connecting work teams in a remote workplace  an identity leadership perspective.pdf,2,4,3,both,engagement|productivity|satisfaction|collaboration,conflict|stress|loneliness
Cousineauetal.pdf,5,2,2,both,well-being|productivity,surveillance|monitoring
Craftingtelework_Aprocessmodel_PR.pdf,0,3,3,both,autonomy|productivity|satisfaction,isolation|conflict|stress
Cultivating_Belonging_During_O.pdf,2,3,0,benefit_only,belonging|engagement|support,
Daily_Routine_and_Performance_Analysis_-_Parallel_Between_Telework_and_Work_from_the_Office.pdf,1,5,4,both,autonomy|flexibility|trust|productivity|support,fatigue|isolation|stress|monitoring
DelanoeijeVerbruggen2024_JOHP_Biophilia_in_the_homeworkplace_ACCEPTEDversion.pdf,1,2,1,both,well-being|support,loneliness
Di+Dalmazi+et+al.%282022%29.pdf,1,2,5,both,engagement|wellbeing,technostress|fatigue|overload|stress|strain
Dialnet-Telework-10668357.pdf,1,1,3,both,productivity,technostress|fatigue|stress
Dialnet-TheImportanceOfTrustInCultivatingEmployeeLoyaltyAn-8994341.pdf,3,3,0,benefit_only,trust|well-being|productivity,
DigitalFatigueandEmployeeEngagementinHybridWorkAMultilevelPerspective.pdf,3,7,4,both,autonomy|flexibility|engagement|well-being|productivity|support|commitment,fatigue|exhaustion|stress|strain
Disentangling_the_implications.pdf,0,4,6,both,flexibility|well-being|satisfaction|commitment,fatigue|isolation|conflict|stress|strain|loneliness
Does work-life boundary management improve work-life balance for.pdf,2,4,0,benefit_only,autonomy|flexibility|well-being|inclusion,
EBSCO-FullText-06_01_2026-2.pdf,0,3,1,both,belonging|inclusion|support,conflict
EBSCO-FullText-06_01_2026.pdf,4,3,0,benefit_only,belonging|inclusion|support,
EBSCO-FullText-06_02_2026-2.pdf,2,6,4,both,autonomy|well-being|productivity|satisfaction|collaboration|support,burnout|surveillance|stress|monitoring
EBSCO-FullText-06_02_2026-3.pdf,0,1,2,both,support,conflict|monitoring
EBSCO-FullText-06_02_2026.pdf,2,2,3,both,autonomy|flexibility,surveillance|conflict|stress
EBSCO-FullText-06_10_2026.pdf,2,3,3,both,wellbeing|well-being|satisfaction,conflict|stress|loneliness
ECIS2016_HafermalzRiemer_Belonging_Remote_Work.pdf,2,4,2,both,flexibility|belonging|wellbeing|support,isolation|loneliness
ESP-3420%20Proofread%20%281%29.pdf,3,6,6,both,flexibility|engagement|well-being|productivity|inclusion|support,technostress|fatigue|overload|exhaustion|stress|strain
Employee+Perspectives+on+Remote+Work+Culture+and+Leadership+in+Hybrid+Organisations.pdf,4,8,0,benefit_only,flexibility|trust|belonging|engagement|productivity|satisfaction|support|commitment,
Employees’_fit_to_telework_and.pdf,0,6,4,both,engagement|well-being|productivity|satisfaction|inclusion|support,burnout|isolation|conflict|exhaustion
Engagement_in_the_teleworking_.pdf,0,4,0,benefit_only,autonomy|flexibility|engagement|inclusion,
Evolving_approaches_to_employe.pdf,0,3,1,both,autonomy|engagement|support,stress
Exploring_the_nexus_between_re.pdf,0,3,1,both,engagement|productivity|support,stress
Exploring_the_nexus_of_social_.pdf,0,7,3,both,autonomy|flexibility|well-being|satisfaction|collaboration|inclusion|support,burnout|exhaustion|stress
Exploring_the_remote_work_chal.pdf,0,3,0,benefit_only,engagement|well-being|collaboration,
FULLTEXT01 copy.pdf,2,4,0,benefit_only,belonging|well-being|collaboration|support,
